Phylum,TARA_004_SRF_0.22-1.6,TARA_141_SRF_0.22-3,TARA_142_MES_0.22-3,TARA_142_SRF_0.22-3,TARA_145_MES_0.22-3,TARA_145_SRF_0.22-3,TARA_146_MES_0.22-3,TARA_146_SRF_0.22-3,TARA_148b_MES_0.22-3,TARA_148_SRF_0.22-3,TARA_149_MES_0.22-3,TARA_149_SRF_0.22-3,TARA_150_SRF_0.22-3,TARA_151_SRF_0.22-3,TARA_152_MES_0.22-3,TARA_152_SRF_0.22-3,TARA_066_SRF_0.22-3,TARA_067_SRF_0.22-3,TARA_068_MES_0.22-3,TARA_068_SRF_0.22-3,TARA_070_MES_0.22-3,TARA_070_SRF_0.22-3,TARA_072_MES_0.22-3,TARA_072_SRF_0.22-3,TARA_076_MES_0.22-3,TARA_076_SRF_0.22-3,TARA_078_MES_0.22-3,TARA_078_SRF_0.22-3,TARA_082_SRF_0.22-3
Proteobacteria,71,1,543,16,38,1,16,2,87,6,50,1,22,11,19,0,0,2,204,80,1158,35,351,44,298,63,78,7,4
Proteobacteria,211,87,2,125,1,108,5,87,16,92,3,139,202,240,2,136,109,45,7,63,1,47,31,91,2,54,16,120,27
Deferribacteres,30,67,5,104,2,130,1,109,24,136,2,177,138,304,12,67,147,13,1,13,5,44,39,92,2,35,6,17,0
Proteobacteria,140,91,3,92,2,133,3,89,16,103,3,107,198,251,6,132,131,57,5,49,1,44,32,107,2,31,14,110,8
Proteobacteria,83,79,40,264,30,79,29,336,84,301,34,228,177,165,45,135,72,5,43,75,16,28,55,131,22,104,41,118,2
Proteobacteria,111,73,10,130,21,104,19,106,27,128,22,175,216,212,14,90,109,29,15,32,6,37,35,83,11,69,28,47,71
Cyanobacteria,100,964,1,191,0,70,0,170,2,379,0,261,130,66,0,106,18,22,0,151,0,20,1,9,1,49,5,112,1
Proteobacteria,105,18,0,179,0,9,1,21,0,67,0,21,171,95,0,45,19,1,0,61,0,37,92,190,0,190,18,185,2
Chloroflexi,72,44,9,148,3,39,16,102,4,141,7,78,60,29,13,55,71,1,9,34,0,62,58,129,1,63,1,6,0
Cyanobacteria,51,1042,0,130,0,22,0,149,3,371,2,188,55,22,0,31,19,25,0,100,0,22,18,47,0,101,6,70,62
Proteobacteria,145,105,0,114,0,5,0,81,3,187,0,98,94,22,0,21,32,0,0,27,2,59,60,167,0,107,12,131,2
Proteobacteria,93,92,8,204,11,38,7,164,29,173,11,133,122,146,13,60,76,1,17,53,3,37,52,95,2,79,17,124,0
Cyanobacteria,26,39,0,179,0,0,0,36,0,64,0,17,42,16,0,13,3,6,0,19,0,24,140,257,0,188,23,189,0
Proteobacteria,155,55,40,79,50,136,32,139,42,153,68,156,199,202,43,133,147,38,80,37,16,22,31,52,29,24,47,71,120
Proteobacteria,139,53,2,71,7,134,6,72,9,81,7,88,150,187,1,120,104,36,14,42,0,23,31,62,3,57,12,86,287
Proteobacteria,30,36,3,155,0,14,2,63,8,82,4,52,98,67,4,34,15,6,2,48,3,53,101,196,1,124,16,173,1
Deferribacteres,0,0,159,0,29,0,130,3,74,0,117,1,0,0,145,1,1,0,49,0,46,0,51,0,60,0,33,0,0
Proteobacteria,82,138,4,175,0,31,7,69,34,122,3,121,136,297,4,82,37,5,1,17,4,20,35,76,0,58,6,95,0
Proteobacteria,153,66,0,99,0,6,0,43,7,66,0,68,138,93,0,46,58,2,0,39,0,35,45,131,2,132,4,124,0
Proteobacteria,4,0,37,0,22,1,6,3,55,0,53,0,1,1,69,0,0,1,660,89,9032,293,292,79,100,103,34,0,0
Euryarchaeota,0,6,34,421,101,18,78,674,359,750,60,155,65,27,78,14,14,0,66,25,11,34,19,21,35,8,22,7,0
Proteobacteria,174,82,0,100,0,64,0,87,17,110,4,88,118,213,1,79,116,19,3,36,1,35,38,87,0,83,8,72,15
Proteobacteria,89,27,0,142,1,4,0,30,1,53,0,15,91,66,0,42,3,3,2,55,1,38,113,178,1,237,22,160,0
